Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.9872483,-43.22310506,71,10.84745884,60.15254116,642.8190549,645.62732,3500,9.7582,1.4358,8.7442,0,0,0,0,0,0,40.924,8.886,8.9754,8.5702,96.832176
-22.98723952,-43.22305209,71,10.922225,60.077775,648.2605891,651.03851,3500,9.7315,1.4241,8.6985,0,0,0,0,0,0,40.961,8.8574,8.9369,8.5488,93.778175
-22.98723076,-43.22299999,71,10.96189308,60.03810692,653.6182392,656.36987,3500,9.6292,1.4912,8.6503,0,0,0,0,0,0,40.981,8.6815,9.112,8.5306,95.295181
-22.98722027,-43.22293816,71,10.72555828,60.27444172,659.9807482,662.72742,3500,9.5606,1.4716,8.597,0,0,0,0,0,0,40.863,8.6748,9.0645,8.5106,93.47818
-22.98721188,-43.22288869,71,10.52986908,60.47013092,665.0717674,667.81519,3500,9.5086,1.4583,8.5524,0,0,0,0,0,0,40.765,8.6721,9.0246,8.5001,96.913177
-22.98720245,-43.22283305,71,10.31385612,60.68614388,670.8002117,673.53967,3500,9.3674,1.5499,8.5022,0,0,0,0,0,0,40.657,8.4343,9.361,8.495,93.88018
-22.98719301,-43.2227774,71,10.11816788,60.88183212,676.5297381,679.26361,3500,9.4014,1.5362,8.4482,0,0,0,0,0,0,40.559,8.3735,9.3205,8.4803,97.952179
-22.98718358,-43.22272176,71,10.05197716,60.94802284,682.2603195,684.97723,3500,9.3023,1.5359,8.3941,0,0,0,0,0,0,40.526,8.4083,9.2847,8.4752,98.749176
-22.98717414,-43.22266611,71,10.14275265,60.85724735,687.9919295,690.67828,3500,9.2653,1.5298,8.3415,0,0,0,0,0,0,40.571,8.4063,9.2569,8.4648,97.003181
-22.9871647,-43.22261047,71,10.21303082,60.78696918,693.7245426,696.38263,3500,9.2604,1.5108,8.2842,0,0,0,0,0,0,40.607,8.3787,9.2113,8.4473,101.69018
