Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.97875925,-43.228068,53,12.5,40.5,401.4512967,403.48901,750,9.0597,6.2799,11.665,0,0,0,0,0,0,32.75,7.3246,11.425,1.9091,82.757462
-22.97877494,-43.22812774,53,12.5,40.5,395.10433,397.17462,750,8.9804,6.4324,11.71,0,0,0,0,0,0,32.75,7.4021,11.542,1.8962,83.96846
-22.97878802,-43.22817752,53,12.5,40.5,389.815507,391.91373,750,9.0962,6.3308,11.749,0,0,0,0,0,0,32.75,7.5189,11.543,1.8851,83.215462
-22.97880371,-43.22823726,53,12.5,40.5,383.4693164,385.60208,750,8.9896,6.5033,11.797,0,0,0,3,3.01673,1,32.75,7.4641,11.702,1.8674,79.87146
-22.9788194,-43.228297,53,12.5,40.5,377.1235795,379.29202,750,8.8909,6.6534,11.846,0,0,0,4,4.02301,1,32.75,7.4693,11.787,1.8479,79.624466
-22.97883247,-43.22834678,53,12.5,40.5,371.8358286,374.03494,750,8.8595,6.7601,11.891,0,0,0,4,4.02376,2,32.75,7.6643,11.852,1.8299,77.906464
-22.97884816,-43.22840652,53,12.5,40.5,365.4909848,367.72803,750,8.7527,6.9269,11.948,0,0,0,5,5.03069,1,32.75,7.7229,11.942,1.8036,60.373463
-22.97886385,-43.22846626,53,12.5,40.5,359.1466649,361.423,750,8.6333,7.1417,12.007,1,1.00634,1,9,9.05709,1,31.833,7.5918,12.081,1.7724,80.444466
-22.97887955,-43.228526,53,12.66005325,40.33994675,352.8028971,355.10165,750,8.6261,7.3045,12.064,1,1.00655,1,7,7.04582,1,31.887,7.6273,12.131,1.7416,84.867462
-22.97889262,-43.22857579,53,12.77380943,40.22619057,347.5168673,349.83728,750,8.5675,7.3477,12.114,1,1.0067,1,7,7.04688,1,31.925,7.6059,12.182,1.7172,81.592461
-22.97890831,-43.22863553,53,12.92824078,40.07175922,341.1741919,343.51941,750,8.3289,7.5497,12.175,2,2.01376,1,9,9.06193,2,31.976,7.6572,12.283,1.6871,80.792465
-22.97892139,-43.22868531,53,13.04761887,39.95238113,335.8891193,338.25684,750,8.372,7.6124,12.22,3,3.02126,1,11,11.0779,2,32.016,7.7354,12.31,1.6621,79.880463
-22.97893708,-43.22874505,53,13.20205021,39.79794979,329.5476526,331.94205,750,8.4227,7.7432,12.278,3,3.02187,1,17,17.1239,2,32.067,7.8422,12.378,1.6346,86.088463
-22.97895277,-43.22880479,53,13.32705021,39.67294979,323.2069003,325.63269,750,8.3704,7.8866,12.336,3,3.02254,1,17,17.1278,1,32.109,7.9021,12.365,1.6104,83.367462
-22.9789597,-43.22885403,53,13.45205021,39.54794979,318.1130537,320.56192,750,8.6834,7.9028,12.371,4,4.03081,1,19,19.1464,2,32.151,7.9121,12.45,1.5945,86.180466
-22.97896267,-43.22890537,53,13.5082674,39.4917326,312.8986111,315.38095,750,8.7636,8.151,12.399,3,3.02394,1,21,21.1676,1,32.169,7.7743,12.558,1.5799,86.492462
-22.97896564,-43.2289567,53,13.64565182,39.35434818,307.6859051,310.1925,750,8.7987,8.3628,12.427,3,3.02455,1,22,22.18,1,32.215,7.8271,12.641,1.5673,86.812462
-22.97896889,-43.22901292,53,13.77608681,39.22391319,301.9788498,304.51559,750,9.043,8.4818,12.456,4,4.03382,1,22,22.186,1,32.259,8.0962,12.707,1.5546,86.725464
-22.978972,-43.2290667,53,13.91739178,39.08260822,296.5220941,299.08661,750,9.2146,8.5219,12.484,5,5.0434,1,22,22.1909,1,32.306,8.214,12.708,1.5456,85.616463
-22.97897015,-43.22911625,53,14.0804348,38.9195652,291.607357,294.19312,750,9.3382,8.5334,12.5,5,5.04452,1,21,21.187,1,32.693,8.3069,12.642,1.542,83.722466
-22.97896831,-43.22916581,53,14.21086979,38.78913021,286.6982786,289.31039,750,8.9077,9.2047,12.514,4,4.03662,2,26,26.238,3,32.57,8.3629,12.587,1.5385,84.492462
-22.97896646,-43.22921536,53,14.31956482,38.68043518,281.7951546,284.4375,750,8.4441,9.3848,12.527,0,0,0,22,22.2074,1,33.66,8.2642,12.405,1.5369,96.458466
