Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
37,-43.228535,-22.974396,3,3.5,0.5,3500,140.12273,1.5532,15.521,8.4799,3.5565,9.5389,0.72768,1.9973,1,89.636,3,0,0,7.4554,16,28,9.7526,-52.228279,72.848279,0.88020998
38,-43.228489,-22.97438,3,3.5,0.5,3500,135.1451,1.5441,15.254,8.4368,3.5546,9.5654,0.70422,2.0098,1,84.711,3,0,0,7.4554,16,28,9.5734,-46.547138,67.167138,1.22E+00
39,-43.228489,-22.97438,3,3.5,0.5,3500,135.1451,1.5441,15.254,8.4368,3.5546,9.5654,0.70422,2.0098,1,84.711,3,0,0,7.4554,16,28,9.5734,-44.266159,64.886159,1.0406418
40,-43.228443,-22.974365,3,3.5,0.5,3500,130.16751,1.5344,15.319,8.3959,3.5525,9.6429,0.68519,2.0128,1,81.317,2,0,0,7.4554,16,28,9.4852,-42.051895,62.671895,1.6479628
41,-43.228374,-22.974342,3,3.5,0.5,3500,122.70129,1.4228,15.23,8.3298,3.3191,9.8095,0.64973,1.0012,1,74.723,2,0,0,7.4554,16,28,9.4852,-41.866116,62.486116,1.669807
42,-43.228329,-22.974327,3,3.5,0.5,3500,117.72382,1.3983,14.833,8.2819,3.2846,9.9993,0.61943,0.9867,1,68.743,2,0,0,7.4554,16,28,9.4983,-40.337643,60.957643,1.5514169
43,-43.228306,-22.974321,3,3.5,0.5,3500,115.23511,1.431,14.881,8.2566,3.329,9.8756,0.60101,0.97967,1,66.391,2,0,0,7.4554,16,28,9.4852,-41.992088,62.612088,1.676843
44,-43.22826,-22.974306,3,3.5,0.5,3500,110.25786,1.4054,14.466,8.2015,3.2929,10.079,0.55456,0.96329,1,60.423,2,0,0,7.4554,16,28,9.4983,-41.490864,62.110864,1.3068459
45,-43.228214,-22.974291,3,3.5,0.5,3500,105.28063,1.4717,14.193,8.1427,3.3558,10.233,0.49636,0.97121,1,55.465,2,0,0,7.4554,16,28,9.3587,-46.08363,66.70363,0.84708101
46,-43.228168,-22.974276,3,3.5,0.5,3500,100.30358,1.3663,14.012,8.086,3.258,10.437,0.43672,0.99141,1,50.519,2,0,0,7.4554,16,28,9.1491,-41.937565,62.557565,0.83670837
47,-43.228123,-22.97426,3,3.5,0.5,3500,95.326576,1.2708,13.857,8.0345,2.9717,10.509,0.38332,0,0,48.244,2,0,0,7.4554,9,28,8.9472,-43.1455,63.7655,1.1452411
48,-43.228123,-22.97426,3,3.5,0.5,3500,95.326576,1.2708,13.857,8.0345,2.9717,10.509,0.38332,0,0,48.244,2,0,0,7.4554,9,28,8.9472,-42.028004,62.648004,0.98899233
49,-43.228077,-22.974247,3,3.5,0.5,3500,90.349777,1.4505,13.409,7.9872,3.1667,10.791,0.3345,0,0,43.266,2,0,0,7.4554,10,28,8.7879,-42.76424,63.38424,0.53898245
50,-43.228031,-22.974232,3,3.5,0.5,3500,85.373177,1.5349,13.218,7.9427,3.2384,11.028,0.28797,0,0,39.58,1,0,0,7.4554,10,28,8.6566,-49.464664,70.084664,0.2526044
51,-43.227997,-22.97422,3,3.5,0.5,3500,81.64077,1.6098,13.256,7.9113,3.2989,11.253,0.25556,0,0,39.499,1,0,0,7.4554,10,28,8.5253,-48.744057,69.364057,0.20109853
52,-43.227962,-22.974209,3,3.5,0.5,3500,77.908569,1.9359,13.359,7.8828,3.5724,11.503,0.22496,0,0,39.802,2,0,0,7.4554,10,28,8.4207,-39.098202,59.718202,1.5532031
53,-43.227917,-22.974194,3,3.5,0.5,3500,72.932434,2.0548,13.271,7.8483,3.6282,11.744,0.19065,0,0,39.221,2,0,0,7.4554,10,28,8.2651,-32.431423,53.051423,0.95094717
54,-43.227848,-22.974173,3,3.5,0.5,3500,65.469162,1.9773,14.564,7.809,3.5262,11.476,0.1625,0,0,38.171,3,0,0,7.4554,9,28,8.0469,-39.132915,59.752915,0.42840055
55,-43.227791,-22.974154,3,3.5,0.5,3500,59.250351,1.9167,15.917,7.7869,3.5237,11.132,0.1562,0,0,38.692,3,0,0,7.4554,11,28,8,-45.685684,66.305684,0.22824395
56,-43.227791,-22.974154,3,3.5,0.5,3500,59.250351,1.9167,15.917,7.7869,3.5237,11.132,0.1562,0,0,38.692,3,0,0,7.4554,11,28,8,-41.926022,62.546022,1.9180804
57,-43.227745,-22.974138,3,3.5,0.5,3500,54.276096,1.8909,16.873,7.7683,3.4301,10.951,0.15015,0,0,37.148,2,0,0,7.4554,8,28,7.9591,-39.833809,60.453809,1.4216249
58,-43.227676,-22.974115,3,3.5,0.5,3500,46.816292,2.2128,15.718,7.7368,3.6172,11.408,0.1382,0,0,29.305,2,0,0,7.4554,8,28,7.909,-32.183067,52.803067,2.0094814
59,-43.227631,-22.974102,3,3.5,0.5,3500,41.844501,2.4762,14.202,7.7132,3.7432,11.165,0.132,0,0,24.281,2,0,0,7.4554,8,27,7.8916,-29.397421,50.017421,0.20048855
62,-43.227539,-22.974072,3,3.5,0.5,3500,31.907301,3.25,11.617,7.663,3.9919,10.833,0.11321,0,0,15.222,1,0,0,7.4554,8,23.25,7.8292,-27.579762,48.199762,0.2328551
63,-43.227539,-22.974072,3,3.5,0.5,3500,31.907301,3.25,11.617,7.663,3.9919,10.833,0.11321,0,0,15.222,1,0,0,7.4554,8,23.25,7.8292,-26.48852,47.10852,0.77869862
64,-43.227493,-22.974056,3,3.5,0.5,3500,26.943901,3.5556,9.6481,7.6312,4.051,10.678,0.097887,0,0,10.144,1,0,0,7.4554,8,23,7.7797,-26.152218,46.772218,1.0988398
65,-43.227455,-22.974045,3,3.5,0.5,3500,23.07338,4,6.7917,7.6048,4.086,9.0733,0.083022,0,0,4.8537,1,0,0,7.4554,8,23,7.7364,-20.369709,40.989709,1.6810728
66,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-18.413586,39.033586,0.20962952
67,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-27.564085,48.184085,0.21860155
68,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-33.34763,53.96763,0.11658565
69,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-43.736412,64.356412,0.86225164
70,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-45.236225,65.856225,0.96597993
71,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-47.546421,68.166421,3.0605037
72,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-47.384884,68.004884,0.01684857
74,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-51.058678,71.678678,0.078574508
75,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-50.272892,70.892892,1.2585292
76,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-50.717426,71.337426,0.54869688
77,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-56.015041,76.635041,0.41997868
78,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-52.135639,72.755639,0.079179756
79,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-56.015652,76.635652,0.076361462
80,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-52.80117,73.42117,0.12244245
81,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-50.693642,71.313642,0.74340755
82,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-54.516132,75.136132,0.73438632
83,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-50.932354,71.552354,0.37878004
84,-43.227421,-22.974033,3,3.5,0.5,3500,19.252916,4.4,3.6125,7.578,4.0833,5.8885,0.067081,0,0,0,0,0,0,7.4554,8,22.5,7.6894,-49.762688,70.382688,0.11357947
86,-43.227108,-22.973993,3,3.5,0.5,3500,15.326097,4.5,0,7.2785,4.0988,0,0.11904,0,0,0,0,0,0,7.1015,8,0,7.4554,-52.98785,73.60785,0.10976519
87,-43.227112,-22.973993,3,3.5,0.5,3500,15.062735,4.5,0,7.2801,4.0988,0,0.11781,0,0,0,0,0,0,7.1015,8,0,7.4554,-45.124947,65.744947,0.15012297
89,-43.227119,-22.973991,3,3.5,0.5,3500,14.011241,4.8,0,7.2949,4.0567,0,0.11081,0,0,0,0,0,0,7.1188,8,0,7.4554,-49.169308,69.789308,0.37903956
90,-43.227123,-22.973991,3,3.5,0.5,3500,13.748913,4.5714,0,7.2923,4.1084,0,0.11052,0,0,0,0,0,0,7.1188,8,0,7.4554,-51.422462,72.042462,0.095931157
91,-43.227127,-22.973991,3,3.5,0.5,3500,13.486159,4.5714,0,7.2966,4.1084,0,0.11028,0,0,0,0,0,0,7.1361,8,0,7.4554,-46.801498,67.421498,8.49E-01
92,-43.227127,-22.973991,3,3.5,0.5,3500,13.224661,4.5714,0,7.3015,4.1084,0,0.10639,0,0,0,0,0,0,7.1361,8,0,7.4554,-47.648338,68.268338,0.21908498
