Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
691,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-15.363355,29.093355,1.0351871
692,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-13.485992,27.215992,1.374652
693,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-11.992647,25.722647,1.2818938
694,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.621284,26.351284,1.2044165
695,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.127621,25.857621,0.94030774
696,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.05194,25.78194,1.1907037
697,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.080091,25.810091,1.0928005
698,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-11.727711,25.457711,0.8436417
699,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-11.830384,25.560384,0.96595764
700,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-12.131686,25.861686,1.0082852
701,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-12.313844,26.043844,1.2166941
702,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-11.838229,25.568229,1.2340739
703,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-12.471519,26.201519,1.1217163
704,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-12.295861,26.025861,1.0285004
705,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-12.775282,26.505282,1.0306219
706,-43.235378,-22.977758,3,3.5,0.5,735,73.281319,7.2568,10.889,17.477,9.2022,14.344,0.43102,2.1121,1,22.309,1,0,0,17,26,33,18.911,-12.86953,26.59953,1.0031428
