image_id,Long_Rx,Lat_Rx,Decimal Hour Rx,Long_Tx,Lat_Tx,Decimal Hour Tx,Pw,PL,rms_delay_ns,mean_delay,rms_delay,d,dx,dy,relative speed,vx,vy
50.png,-43.3120978,-23.00809824,11.37806111,-43.31220772,-23.00835606,11.37804444,-44.00752481,61.00752481,208.726519,0.254582962,0.208726519,30.69528913,11.7421074,28.36060099,0.611596997,0.23395895,0.565078841
51.png,-43.3121172,-23.0081396,11.37830611,-43.31221378,-23.0083774,11.37824444,-44.02721666,61.02721666,189.784891,0.304559555,0.189784891,28.1346764,10.37801459,26.15065638,2.549949677,0.940597808,2.370130612
52.png,-43.31212672,-23.00816208,11.37855111,-43.31222296,-23.0084098,11.37854444,-44.68399628,61.68399628,177.833953,0.229903077,0.177833953,29.15373154,10.34589087,27.25623974,1.035480979,0.367464906,0.968085947
53.png,-43.3121374,-23.0081922,11.37880056,-43.31223172,-23.00843908,11.37874444,-38.0885739,55.0885739,143.804275,0.139568566,0.143804275,28.99999088,10.15007394,27.16570393,0.146059176,0.0511211,0.136820744
54.png,-43.31214388,-23.00821164,11.37905,-43.31224684,-23.00848932,11.37904444,-40.18748532,57.18748532,129.046108,0.114260464,0.129046108,32.51245756,11.03734555,30.58164319,3.522640311,1.195867716,3.31344159
55.png,-43.3121552,-23.0082412,11.37929917,-43.31225664,-23.00852232,11.37924444,-38.90932623,55.90932623,138.585937,0.127177034,0.138585937,32.82331339,10.8830069,30.96659591,0.316928709,0.105081936,0.299000992
56.png,-43.3121762,-23.0082958,11.37979361,-43.31227734,-23.00859234,11.37974444,-45.56367704,62.56367704,110.12104,0.105332864,0.11012104,34.4379911,10.85508355,32.68244777,0.810492716,0.255472688,0.769176279
57.png,-43.31218052,-23.00832028,11.38003861,-43.3122849,-23.0086179,11.37994444,-43.93272813,60.93272813,168.034188,0.21480955,0.168034188,34.65318517,11.18581897,32.7981813,0.187851204,0.060637126,0.177795427
58.png,-43.312187,-23.00836,11.38028361,-43.31229932,-23.0086646,11.38024444,-39.663377,56.663377,198.318276,0.268496456,0.198318276,35.64377458,11.99705085,33.56410936,0.93024139,0.313102453,0.875965694
59.png,-43.31218988,-23.00839096,11.38054167,-43.3123172,-23.008724,11.38044444,-44.72301566,61.72301566,143.464254,0.143335113,0.143464254,39.12367871,13.53255985,36.70874636,3.387477563,1.171700729,3.178383495
60.png,-43.3121934,-23.0084366,11.38078667,-43.31233888,-23.00879876,11.38074444,-47.28874907,64.28874907,130.952058,0.169049574,0.130952058,42.79027133,15.39103411,39.9264748,3.505133951,1.260745364,3.270548141
61.png,-43.31223904,-23.00856032,11.38153194,-43.3123786,-23.0089332,11.38144444,-47.78113982,64.78113982,88.929019,0.099824341,0.088929019,43.70252445,14.78843387,41.12435856,0.319034381,0.107957581,0.300213419
62.png,-43.3122547,-23.00859688,11.38177694,-43.31238724,-23.00896128,11.38174444,-54.76357302,71.76357302,106.696421,0.144696013,0.106696421,42.58119401,14.07041778,40.18931981,1.122094208,0.370781859,1.059063843
63.png,-43.3122736,-23.00864764,11.38202611,-43.312393,-23.00898,11.38194444,-54.54282619,71.54282619,117.638815,0.15652798,0.117638815,38.78887257,12.72415232,36.64249696,3.790332109,1.243365942,3.580594731
64.png,-43.3122862,-23.00868148,11.38227556,-43.31240326,-23.0090151,11.38224444,-50.69781473,67.69781473,96.831311,0.187625149,0.096831311,38.84652961,12.48550589,36.78539119,1.950489955,0.626899084,1.846999893
65.png,-43.31229912,-23.00872396,11.382525,-43.3124101,-23.0090385,11.38244444,-51.87088704,68.87088704,67.579948,0.126298532,0.067579948,36.6443821,11.86199719,34.67136805,2.202703238,0.713027704,2.084104856
