Tx_ind,Tx,Rx,f,d,dx,dy,nw,PL
3,Tx3,Lab 19,29,5.14,4.5,2.48,0.5,105.7829167
3,Tx3,Lab 21,29,3.8,2.68,2.7,0.5,101.0984848
3,Tx3,Pasillo_Dep,29,11.03,10.8,2.25,0.5,117.5349524
1,Tx1,Lab 7,29,4.83,4.35,2.1,0.25,93.95575758
4,Tx4,Sala 1b,29,4.42,3.5,2.7,0.25,94.43572917
4,Tx4,Sala 2,29,4.37,4.14,1.4,0.25,84.10510417
4,Tx4,Sala 3,29,7.02,6.17,3.35,0.5,106.8454545
4,Tx4,Sala 30a,29,7.91,7.5,2.5,0.75,127.6170115
4,Tx4,Sala 30b,29,5.37,4.89,2.21,0.75,125.200303
4,Tx4,Sala 35,29,7.69,7.55,1.45,0.25,107.459
5,Tx5,Lab 10,29,3.35,2.17,2.55,0.25,100.09
5,Tx5,Lab 11b,29,9.98,9.9,1.28,0.75,102.6148485
5,Tx5,Lab 12,29,3.91,3.3,2.1,0.25,96.20380952
4,Tx4,Sala 2,29,4.37,4.14,1.4,0.5,124.7219608
5,Tx5,Lab 16b,29,6.39,4.01,4.97,0.25,104.7622917
5,Tx5,Lab 18,29,10.31,10.05,2.31,0.5,119.6432292
5,Tx5,Lab 8,29,6.93,6.6,2.1,0.75,125.1502151
6,Tx6,Lab 11a,29,12.5,12.5,0,0.75,122.59
1,Tx1,Lab 5,29,4,4,0.01,0.25,78.41666667
6,Tx6,Lab 9,29,8.9,8.9,0,0.75,130.13
1,Tx1,Copa,29.5,6.59,6.3,1.94,0.5,133.0957576
1,Tx1,Lab 1,29.5,11.76,11.6,1.93,0.5,134.2890909
1,Tx1,Lab 11a,29.5,9.04,8.9,1.6,0.75,128.7366667
1,Tx1,Lab 3,29.5,4.25,3.6,2.25,0.25,107.8263542
1,Tx1,Lab 4,29.5,3.5,2.7,2.22,0.25,102.322
1,Tx1,Lab 5,29.5,4,4,0.01,0.25,89.30666667
1,Tx1,Lab 7,29.5,4.83,4.35,2.1,0.25,106.7933333
1,Tx1,Lab 9,29.5,5.78,5.3,2.3,0.75,127.9566667
1,Tx1,Sala,29.5,11.57,2,11.4,0.75,114.1738095
2,Tx2,Lab 25,29.5,3.99,3.58,1.76,0.25,96.69393939
2,Tx2,Lab 26,29.5,5.21,4.27,2.98,0.25,102.3651515
2,Tx2,Lab 26a,29.5,8.43,7.55,3.74,0.75,125.8545455
2,Tx2,Lab 26a,29.5,8.43,7.55,3.74,0.75,127.6995699
2,Tx2,Lab 27,29.5,6.71,5.87,3.25,0.5,125.8947917
2,Tx2,Lobby,29.5,10.46,10.3,1.8,0.5,101.2491667
3,Tx3,Lab 11b,29.5,12.48,12.3,2.09,0.75,132.6366667
3,Tx3,Lab 13,29.5,9.68,9.3,2.69,0.5,117.6976042
3,Tx3,Lab 16a,29.5,2.57,0,2.57,0.25,87.12861111
3,Tx3,Lab 16b,29.5,7.36,6.9,2.57,0.5,118.0726126
3,Tx3,Lab 17,29.5,5.95,5.3,2.7,0.25,109.8806667
3,Tx3,Lab 19,29.5,5.14,4.5,2.48,0.5,103.7154167
3,Tx3,Lab 21,29.5,3.8,2.68,2.7,0.5,107.7295238
3,Tx3,Pasillo_Dep,29.5,11.03,10.8,2.25,0.5,116.8341667
1,Tx1,Lab 7,29.5,4.83,4.35,2.1,0.25,97.94104167
4,Tx4,Sala 1b,29.5,4.42,3.5,2.7,0.25,97.3754902
4,Tx4,Sala 2,29.5,4.37,4.14,1.4,0.25,87.80569892
4,Tx4,Sala 3,29.5,7.02,6.17,3.35,0.5,105.0330303
4,Tx4,Sala 30a,29.5,7.91,7.5,2.5,0.75,128.7582796
4,Tx4,Sala 30b,29.5,5.37,4.89,2.21,0.75,126.6904167
4,Tx4,Sala 35,29.5,7.69,7.55,1.45,0.25,116.6201961
5,Tx5,Lab 10,29.5,3.35,2.17,2.55,0.25,113.1951961
5,Tx5,Lab 11b,29.5,9.98,9.9,1.28,0.75,106.1254545
5,Tx5,Lab 12,29.5,3.91,3.3,2.1,0.25,100.8115152
4,Tx4,Sala 2,29.5,4.37,4.14,1.4,0.5,125.5696078
5,Tx5,Lab 16b,29.5,6.39,4.01,4.97,0.25,107.2131183
5,Tx5,Lab 18,29.5,10.31,10.05,2.31,0.5,133.1860215
5,Tx5,Lab 8,29.5,6.93,6.6,2.1,0.75,134.7044086
6,Tx6,Lab 11a,29.5,12.5,12.5,0,0.75,125.48
1,Tx1,Lab 5,29.5,4,4,0.01,0.25,80.03
6,Tx6,Lab 9,29.5,8.9,8.9,0,0.75,131.8766667
1,Tx1,Copa,30,6.59,6.3,1.94,0.5,126.2075238
1,Tx1,Lab 1,30,11.76,11.6,1.93,0.5,129.8046154
1,Tx1,Lab 11a,30,9.04,8.9,1.6,0.75,132.4833333
1,Tx1,Lab 3,30,4.25,3.6,2.25,0.25,109.3286022
1,Tx1,Lab 4,30,3.5,2.7,2.22,0.25,105.7276042
1,Tx1,Lab 5,30,4,4,0.01,0.25,97.37666667
1,Tx1,Lab 7,30,4.83,4.35,2.1,0.25,101.1133333
1,Tx1,Lab 9,30,5.78,5.3,2.3,0.75,124.5766667
1,Tx1,Sala,30,11.57,2,11.4,0.75,127.7429167
2,Tx2,Lab 25,30,3.99,3.58,1.76,0.25,99.31431373
2,Tx2,Lab 26,30,5.21,4.27,2.98,0.25,107.7922549
2,Tx2,Lab 26a,30,8.43,7.55,3.74,0.75,128.2880952
2,Tx2,Lab 26a,30,8.43,7.55,3.74,0.75,134.4533333
2,Tx2,Lab 27,30,6.71,5.87,3.25,0.5,120.9754167
2,Tx2,Lobby,30,10.46,10.3,1.8,0.5,103.2347917
3,Tx3,Lab 11b,30,12.48,12.3,2.09,0.75,134.2866667
3,Tx3,Lab 13,30,9.68,9.3,2.69,0.5,117.0953763
3,Tx3,Lab 16a,30,2.57,0,2.57,0.25,88.00916667
3,Tx3,Lab 16b,30,7.36,6.9,2.57,0.5,113.2684314
3,Tx3,Lab 17,30,5.95,5.3,2.7,0.25,103.8024242
3,Tx3,Lab 19,30,5.14,4.5,2.48,0.5,121.1988542
3,Tx3,Lab 21,30,3.8,2.68,2.7,0.5,104.7391228
3,Tx3,Pasillo_Dep,30,11.03,10.8,2.25,0.5,124.8278431
1,Tx1,Lab 7,30,4.83,4.35,2.1,0.25,100.1806061
4,Tx4,Sala 1b,30,4.42,3.5,2.7,0.25,99.73763441
4,Tx4,Sala 2,30,4.37,4.14,1.4,0.25,88.91333333
4,Tx4,Sala 3,30,7.02,6.17,3.35,0.5,103.6541667
4,Tx4,Sala 30a,30,7.91,7.5,2.5,0.75,134.8573333
4,Tx4,Sala 30b,30,5.37,4.89,2.21,0.75,132.3846667
4,Tx4,Sala 35,30,7.69,7.55,1.45,0.25,108.0190909
5,Tx5,Lab 10,30,3.35,2.17,2.55,0.25,103.0331373
5,Tx5,Lab 11b,30,9.98,9.9,1.28,0.75,113.2597917
5,Tx5,Lab 12,30,3.91,3.3,2.1,0.25,101.6445455
4,Tx4,Sala 2,30,4.37,4.14,1.4,0.5,127.2857576
5,Tx5,Lab 16b,30,6.39,4.01,4.97,0.25,119.8616667
5,Tx5,Lab 18,30,10.31,10.05,2.31,0.5,124.311828
5,Tx5,Lab 8,30,6.93,6.6,2.1,0.75,137.3869892
6,Tx6,Lab 11a,30,12.5,12.5,0,0.75,134.7366667
1,Tx1,Lab 5,30,4,4,0.01,0.25,84.02333333
6,Tx6,Lab 9,30,8.9,8.9,0,0.75,129.6833333
1,Tx1,Copa,30.5,6.59,6.3,1.94,0.5,113.7836937
1,Tx1,Lab 1,30.5,11.76,11.6,1.93,0.5,123.2113725
1,Tx1,Lab 11a,30.5,9.04,8.9,1.6,0.75,126.0333333
1,Tx1,Lab 3,30.5,4.25,3.6,2.25,0.25,103.196
1,Tx1,Lab 4,30.5,3.5,2.7,2.22,0.25,101.929
1,Tx1,Lab 5,30.5,4,4,0.01,0.25,89.89
1,Tx1,Lab 7,30.5,4.83,4.35,2.1,0.25,107.1633333
1,Tx1,Lab 9,30.5,5.78,5.3,2.3,0.75,114.9666667
1,Tx1,Sala,30.5,11.57,2,11.4,0.75,114.6628431
2,Tx2,Lab 25,30.5,3.99,3.58,1.76,0.25,94.00696078
2,Tx2,Lab 26,30.5,5.21,4.27,2.98,0.25,102.6187255
2,Tx2,Lab 26a,30.5,8.43,7.55,3.74,0.75,124.8516667
2,Tx2,Lab 26a,30.5,8.43,7.55,3.74,0.75,127.2735417
2,Tx2,Lab 27,30.5,6.71,5.87,3.25,0.5,113.8669697
2,Tx2,Lobby,30.5,10.46,10.3,1.8,0.5,99.90910569
