f,d,dx,dy,nw,PL
32,9.98,9.9,1.28,0.75,108.5204902
32,3.91,3.3,2.1,0.25,100.6508046
32,4.37,4.14,1.4,0.5,129.1407292
32,6.39,4.01,4.97,0.25,117.6340196
32,10.31,10.05,2.31,0.5,127.5269892
32,6.93,6.6,2.1,0.75,136.3423423
32,12.5,12.5,0,0.75,134.7166667
32,4,4,0.01,0.25,82.95
32,8.9,8.9,0,0.75,135.6
32.5,6.59,6.3,1.94,0.5,125.0048485
32.5,11.76,11.6,1.93,0.5,134.9027451
32.5,9.04,8.9,1.6,0.75,129.0933333
32.5,4.25,3.6,2.25,0.25,115.4626882
32.5,3.5,2.7,2.22,0.25,116.9244762
32.5,4,4,0.01,0.25,96.17
32.5,4.83,4.35,2.1,0.25,105.0233333
32.5,5.78,5.3,2.3,0.75,121.2433333
32.5,11.57,2,11.4,0.75,114.4275269
32.5,3.99,3.58,1.76,0.25,114.5048958
32.5,5.21,4.27,2.98,0.25,108.2665686
32.5,8.43,7.55,3.74,0.75,131.4721212
32.5,8.43,7.55,3.74,0.75,135.6783333
32.5,6.71,5.87,3.25,0.5,122.7169697
32.5,10.46,10.3,1.8,0.5,109.8133333
32.5,12.48,12.3,2.09,0.75,133.2733333
32.5,9.68,9.3,2.69,0.5,133.3509804
32.5,2.57,0,2.57,0.25,88.05480392
32.5,7.36,6.9,2.57,0.5,120.8479279
32.5,5.95,5.3,2.7,0.25,108.332
32.5,5.14,4.5,2.48,0.5,122.7075758
32.5,3.8,2.68,2.7,0.5,107.0017708
32.5,11.03,10.8,2.25,0.5,121.9233333
32.5,4.83,4.35,2.1,0.25,101.4289216
32.5,4.42,3.5,2.7,0.25,101.5827273
32.5,4.37,4.14,1.4,0.25,93.41397849
32.5,7.02,6.17,3.35,0.5,107.1486667
32.5,7.91,7.5,2.5,0.75,134.9430303
32.5,5.37,4.89,2.21,0.75,133.8102083
32.5,7.69,7.55,1.45,0.25,113.8765591
32.5,3.35,2.17,2.55,0.25,121.6327451
32.5,9.98,9.9,1.28,0.75,115.0548958
32.5,3.91,3.3,2.1,0.25,101.5710753
32.5,4.37,4.14,1.4,0.5,125.2167708
32.5,6.39,4.01,4.97,0.25,115.5291398
32.5,10.31,10.05,2.31,0.5,131.8913978
32.5,6.93,6.6,2.1,0.75,135.4055208
32.5,12.5,12.5,0,0.75,133.7233333
32.5,4,4,0.01,0.25,83.84666667
32.5,8.9,8.9,0,0.75,133.2933333
33,6.59,6.3,1.94,0.5,124.8659375
33,11.76,11.6,1.93,0.5,137.08875
33,9.04,8.9,1.6,0.75,133.1266667
33,4.25,3.6,2.25,0.25,113.1254545
33,3.5,2.7,2.22,0.25,114.0741935
33,4,4,0.01,0.25,96.08666667
33,4.83,4.35,2.1,0.25,101.0666667
33,5.78,5.3,2.3,0.75,129.2233333
33,11.57,2,11.4,0.75,122.1521875
33,3.99,3.58,1.76,0.25,110.324375
33,5.21,4.27,2.98,0.25,104.2602857
33,8.43,7.55,3.74,0.75,137.2767742
33,8.43,7.55,3.74,0.75,137.0277778
33,6.71,5.87,3.25,0.5,120.6126471
33,10.46,10.3,1.8,0.5,123.6308824
33,12.48,12.3,2.09,0.75,134.54
33,9.68,9.3,2.69,0.5,121.3174194
33,2.57,0,2.57,0.25,91.04457143
33,7.36,6.9,2.57,0.5,119.9884211
33,5.95,5.3,2.7,0.25,112.7584375
33,5.14,4.5,2.48,0.5,114.5384444
33,3.8,2.68,2.7,0.5,110.939697
33,11.03,10.8,2.25,0.5,127.1288235
33,4.83,4.35,2.1,0.25,102.3541935
33,4.42,3.5,2.7,0.25,102.4808824
33,4.37,4.14,1.4,0.25,94.36636364
33,7.02,6.17,3.35,0.5,103.4180645
33,7.91,7.5,2.5,0.75,136.9026471
33,5.37,4.89,2.21,0.75,137.0925
33,7.69,7.55,1.45,0.25,116.0951613
33,3.35,2.17,2.55,0.25,118.879697
33,9.98,9.9,1.28,0.75,109.2760606
33,3.91,3.3,2.1,0.25,104.0153125
33,4.37,4.14,1.4,0.5,125.0412903
33,6.39,4.01,4.97,0.25,115.3545161
33,10.31,10.05,2.31,0.5,124.5709091
33,6.93,6.6,2.1,0.75,137.0426471
33,12.5,12.5,0,0.75,134.99
33,4,4,0.01,0.25,86.48666667
33,8.9,8.9,0,0.75,133.2533333
33.5,6.59,6.3,1.94,0.5,121.2981818
33.5,11.76,11.6,1.93,0.5,129.7588889
33.5,9.04,8.9,1.6,0.75,130.9966667
33.5,4.25,3.6,2.25,0.25,113.4955208
33.5,3.5,2.7,2.22,0.25,115.8130108
33.5,4,4,0.01,0.25,99.77
33.5,4.83,4.35,2.1,0.25,103.79
33.5,5.78,5.3,2.3,0.75,126.8333333
33.5,11.57,2,11.4,0.75,113.4436559
33.5,3.99,3.58,1.76,0.25,106.3814583
33.5,5.21,4.27,2.98,0.25,104.5878788
33.5,8.43,7.55,3.74,0.75,134.2213978
